manufacturer,model,price_pln,rating,rating_count,availability,stock_quantity,url
Squier,Sonic Mustang HH California BL,666.0,7.7391,23,IN_STOCK,9,squier_sonic_mustang_hh_california_bl.htm?type=category
Jackson,JS22-7 KV Satin Black,1222.0,9.4444,18,IN_STOCK,4,jackson_js22_7_kv_satin_black.htm?type=category
Harley Benton,MultiScale-8 QEB,1699.0,9.2075,53,IN_STOCK,44,harley_benton_multiscale_8_nt_qeb_dlx.htm?type=category
Harley Benton,ST-20HSS SBK St. Series Pack,855.0,,0,IN_STOCK,1493,harley_benton_st_20hss_sbk_st._series_pack.htm?type=category
Harley Benton,ST-Modern Plus MN HSS OW,1490.0,9.0,22,IN_STOCK,88,harley_benton_st_modern_plus_mn_hss_ow.htm?type=category
Thomann,Guitar Set G13 White,649.0,8.25,24,IN_STOCK,611,thomann_gitarren_set_g13_white.htm?type=category
Harley Benton,DC-200 BK Student Series,499.0,9.1028,107,IN_STOCK,184,harley_benton_dc_200_bk_student_series.htm?type=category
Gibson,70s Explorer CW,9444.0,10.0,4,IN_STOCK,6,gibson_70s_explorer_cw.htm?type=category
Fender,75th Anniv Am Pro II Tele 2CSB,11590.0,8.0,1,IN_STOCK,3,fender_75th_anniv_am_pro_ii_tele_2csb.htm?type=category
Harley Benton,ST-Modern HH PM,679.0,8.5,8,IN_STOCK,59,harley_benton_st_modern_hh_pm.htm?type=category
Harley Benton,Electric Guitar Kit CST-24,425.0,8.7284,302,IN_STOCK,730,harley_benton_electric_guitar_kit_cst_24.htm?type=category
Harley Benton,DC-200 CH Student Series,499.0,8.983,177,IN_STOCK,486,harley_benton_dc_200_ch_student_series.htm?type=category
Squier,CV 70s Jaguar LRL 3TS,1845.0,9.2307,52,IN_STOCK,12,fender_sq_cv_70s_jaguar_lrl_3ts.htm?type=category
Harley Benton,RB-612BK Classic Series,1155.0,9.1041,96,IN_STOCK,67,harley_benton_rb_612bk_classic_series.htm?type=category
Gibson,Les Paul Slash Standard AppBur,11690.0,9.48,50,IN_STOCK,12,gibson_les_paul_slash_standard_aa.htm?type=category
Harley Benton,ST-20HH Active SBK Bundle,855.0,,0,IN_STOCK,758,harley_benton_st_20hh_active_sbk_bundle_package.htm?type=category
Harley Benton,Agufish STD Signature BK,1699.0,9.0,22,IN_STOCK,37,harley_benton_agufish_std_signature_bk.htm?type=category
Harley Benton,Extreme-84 Progressive Series,855.0,8.8888,153,IN_STOCK,137,harley_benton_extreme_84_progressive_series.htm?type=category
Gibson,ES-335 50s Ebony,14690.0,10.0,1,IN_STOCK,5,gibson_es_335_50s_ebony.htm?type=category
Harley Benton,R-457 BK Progressiv Series,635.0,8.5544,202,IN_STOCK,66,harley_benton_r457_bk.htm?type=category
Harley Benton,RX-10 BK Rock Series,555.0,8.5759,316,IN_STOCK,241,harley_benton_hbr10bk_egitarre.htm?type=category
Gibson,Les Paul Junior TV Yellow,5799.0,10.0,1,IN_STOCK,1,gibson_les_paul_junior_tv_yellow.htm?type=category
Dean Guitars,ML 79 Fld Flame Top Dunc Slime,4699.0,,0,IN_STOCK,7,dean_guitars_ml_79_fld_flame_top_dunc_slime.htm?type=category
Harley Benton,RB-612BK Classic Series,1155.0,9.1041,96,IN_STOCK,67,harley_benton_rb_612bk_classic_series.htm?type=category
Harley Benton,CST-24T P90 Black Flame,1155.0,9.1428,84,IN_STOCK,33,harley_benton_cst_24t_p90_black_flame.htm?type=category
PRS,SE Hollowbody II Piezo OTSB,6599.0,,0,IN_STOCK,1,prs_se_hollowbody_ii_piezo_otsb.htm?type=category
Harley Benton,TE-20HH SBK Standard Bundle 1,769.0,,0,IN_STOCK,1413,harley_benton_te_20hh_sbk_standard_bundle_1.htm?type=category
Harley Benton,Electric Guitar Kit Extreme-76,499.0,8.6,20,IN_STOCK,303,harley_benton_electric_guitar_kit_extreme_76.htm?type=category
Harley Benton,R-457MN WH Progressive Series,679.0,8.5298,151,IN_STOCK,43,harley_benton_r_457mn_wh_progressive_series.htm?type=category
Fender,75th Anniv Vintera II 51 Tele,7090.0,8.6666,3,IN_STOCK,12,fender_75th_anniv_vintera_ii_51_tele.htm?type=category
Harley Benton,ST-Modern Plus HSS SBBL,1699.0,8.0,5,IN_STOCK,66,harley_benton_st_modern_plus_hss_sbbl.htm?type=category
Gibson,"Les Paul Slash ""Jessica"" HB/RB",10990.0,10.0,9,IN_STOCK,16,gibson_les_paul_slash_jessica_hb_rb.htm?type=category
Harley Benton,TE-62DB LH LPB,679.0,9.1555,45,IN_STOCK,23,harley_benton_te_62db_lh_lpb.htm?type=category
Harley Benton,Guitar MAX Fusion Signature EF,2111.0,9.3164,79,IN_STOCK,69,harley_benton_guitar_max_fusion_signature.htm?type=category
Harley Benton,R-457 BK Progressiv Series,635.0,8.5544,202,IN_STOCK,66,harley_benton_r457_bk.htm?type=category
Harley Benton,ST-Modern Plus HSS SFG,1490.0,9.1764,17,IN_STOCK,181,harley_benton_st_modern_plus_hss_sfg.htm?type=category
Harley Benton,ST-62 SB Vintage Series,639.0,9.2186,279,IN_STOCK,219,harley_benton_st_62_rw_sb_vintage_series.htm?type=category
Harley Benton,TE-62CC SP,639.0,9.1428,161,IN_STOCK,193,harley_benton_te_62cc_sp.htm?type=category
Harley Benton,S-620 TB Rock Series,725.0,8.7831,166,IN_STOCK,92,harley_benton_s_620_tb_rock_series.htm?type=category
Harley Benton,R-457MN WH MultiScale,799.0,8.8421,228,IN_STOCK,75,harley_benton_r_457_wh_fanfret.htm?type=category
Harley Benton,Electric Guitar Kit Square,489.0,8.0,32,IN_STOCK,294,harley_benton_electric_guitar_kit_square.htm?type=category
Harley Benton,JA-60CC Seafoam Green,769.0,9.4925,134,IN_STOCK,137,harley_benton_ja_60cc_seafoam_green.htm?type=category
Harley Benton,ST-62MN VW Vintage Series,639.0,9.12,475,IN_STOCK,118,harley_benton_st_62_mn_vw_vintage_series.htm?type=category
Gibson,Les Paul Standard 60s UB,10790.0,9.303,66,IN_STOCK,9,gibson_les_paul_standard_60s_ub.htm?type=category
Harley Benton,ST-20HSS CA Standard Set 1,768.0,,0,IN_STOCK,781,harley_benton_st_20hss_ca_standard_set_1.htm?type=category
Harley Benton,R-446 Flip Flop Blue,769.0,9.4375,32,IN_STOCK,66,harley_benton_r_446_flip_flop_blue.htm?type=category
Harley Benton,SC-1000 SBK Progressive Line,849.0,9.0459,610,IN_STOCK,438,harley_benton_l1000_vb_progressive_line.htm?type=category
Thomann,Guitar Set G13 Black,649.0,8.1627,86,IN_STOCK,1646,thomann_gitarren_set_g13.htm?type=category
Epiphone,LP Custom 1979 Adam Jones,5790.0,8.5,8,IN_STOCK,4,epiphone_lp_custom_1979_adam_jones.htm?type=category
Harley Benton,TE-20MN CA Standard Series,379.0,9.0633,363,IN_STOCK,289,harley_benton_te_20mn_ca_standard_series.htm?type=category
Harley Benton,SC-200BK Mini,468.0,8.0909,44,IN_STOCK,197,harley_benton_sc_200bk_mini.htm?type=category
Fender,AV II 66 Jazzmaster RW SHM,10890.0,,0,IN_STOCK,2,fender_av_ii_66_jazzmaster_rw_shm.htm?type=category
Fender,AM Pro II Strat HSS MN RST PIN,7899.0,9.0,8,IN_STOCK,2,fender_am_pro_ii_strat_hss_mn_rst_pin.htm?type=category
Gibson,Les Paul 57 Goldtop ULA,19390.0,,0,IN_STOCK,1,gibson_les_paul_57_goldtop_ula.htm?type=category
Gibson,Les Paul Standard 50s TB,10190.0,9.6842,57,IN_STOCK,5,gibson_les_paul_standard_50s_tb.htm?type=category
Harley Benton,SC-550 II PAF w/Bag,1399.0,,0,IN_STOCK,123,harley_benton_sc_550_ii_paf_bundle_bundle.htm?type=category
Harley Benton,ST-Modern Plus MN HSS SP,1490.0,9.375,32,IN_STOCK,71,harley_benton_st_modern_plus_mn_hss_sp.htm?type=category
Harley Benton,BigTone Trem Vintage Orange,1399.0,8.875,160,IN_STOCK,61,harley_benton_bigtone_vintage_orange.htm?type=category
Harley Benton,CST-24T Black Flame,1155.0,9.3106,206,IN_STOCK,99,harley_benton_cst_24t_black_flame.htm?type=category
Harley Benton,TE-20HH LH SBK,477.0,9.0819,61,IN_STOCK,120,harley_benton_te_20hh_lh_sbk.htm?type=category
Epiphone,Les Paul Standard 50s Goldtop,2859.0,10.0,2,IN_STOCK,6,epiphone_les_paul_standard_50s_goldtop.htm?type=category
Harley Benton,ST-20 WH St. Series w/Bag,399.0,,0,IN_STOCK,611,harley_benton_st_20_wh_st._series_bundle_set.htm?type=category
Solar Guitars,XF1.6FRFN,5199.0,10.0,1,IN_STOCK,4,solar_guitars_xf1.6frfn.htm?type=category
Gibson,ES-335 Figured 60s Cherry,14290.0,9.6,5,IN_STOCK,5,gibson_es_335_figured_60s_cherry.htm?type=category
Gretsch,G6136T-59VS White Falcon,17990.0,9.6363,11,IN_STOCK,3,gretsch_g6136t_59vs_white_falcon.htm?type=category
Thomann,Guitar Set G13 White,649.0,8.25,24,IN_STOCK,611,thomann_gitarren_set_g13_white.htm?type=category
Gibson,LP Special Double Cut VC,7333.0,9.0,2,IN_STOCK,1,gibson_lp_special_double_cut_vc.htm?type=category
Gibson,Les Paul 68 Custom Ebony ULA,26690.0,10.0,1,IN_STOCK,1,gibson_les_paul_68_custom_ebony_ula.htm?type=category
Harley Benton,ST-20HH Active SBK Bundle,855.0,,0,IN_STOCK,758,harley_benton_st_20hh_active_sbk_bundle_package.htm?type=category
Harley Benton,DC-580LH CH Vintage Series,589.0,9.3617,94,IN_STOCK,89,harley_benton_dc_580lh_ch_vintage_series.htm?type=category
Harley Benton,SC-Custom III P90 Black,1285.0,9.3571,28,IN_STOCK,68,harley_benton_sc_custom_iii_p90_black.htm?type=category
Harley Benton,S-620 TB Rock Series Bundle,1069.0,,0,IN_STOCK,92,harley_benton_s_620_tb_rock_series_bundle_bundle.htm?type=category
Gibson,Les Paul Custom EB GH,21590.0,9.5206,121,IN_STOCK,4,gibson_lpcstbk.htm?type=category
Harley Benton,ST-Modern MN HSS OW,768.0,9.1,20,IN_STOCK,116,harley_benton_st_modern_mn_hss_ow.htm?type=category
Cort,KX307MS Open Pore Black,1699.0,8.0,9,IN_STOCK,1,cort_kx307ms_open_pore_black.htm?type=category
Gibson,ES-335 60s Sixties Cherry,14690.0,,0,IN_STOCK,3,gibson_es_335_60s_sixties_cherry.htm?type=category
Fender,Standard Tele LRL WPG OWT,2469.0,7.3333,3,IN_STOCK,2,fender_standard_tele_lrl_wpg_owt.htm?type=category
Fender,Vintera III M 60s Jaguar 3CSB,5499.0,10.0,1,IN_STOCK,3,fender_vintera_iii_m_60s_jaguar_3csb.htm?type=category
PRS,SE Chleo Herman Li OD,8499.0,,0,IN_STOCK,4,prs_se_chleo_herman_li_od.htm?type=category
Harley Benton,MultiScale-8 QEB,1699.0,9.2075,53,IN_STOCK,44,harley_benton_multiscale_8_nt_qeb_dlx.htm?type=category
Harley Benton,DC-Custom II Cherry,1155.0,9.3731,67,IN_STOCK,274,harley_benton_dc_custom_ii_cherry.htm?type=category
